epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.245,1.07947,4.22183,1.44441,0.65415,0.10397,0.09649,0.06183,1.0758,3.04092,1.5227,0.00332616,0.00332616,0.00332616
2,409.405,1.05895,2.65767,1.38488,0.61295,0.14976,0.1553,0.09812,1.12416,2.70942,1.58287,0.00659357,0.00659357,0.00659357
3,613.767,1.15916,2.69666,1.45481,0.3919,0.07323,0.02678,0.01255,1.798,4.33381,2.23183,0.00979497,0.00979497,0.00979497
4,817.693,1.26611,2.8851,1.5483,0.45978,0.11239,0.08133,0.04914,1.35297,3.21315,1.81126,0.009703,0.009703,0.009703
5,1021.37,1.2393,2.70223,1.52294,0.53312,0.13436,0.14211,0.08224,1.33107,2.88448,1.78286,0.009604,0.009604,0.009604
6,1224.59,1.18856,2.5272,1.48062,0.5102,0.17726,0.15086,0.09195,1.21775,2.69476,1.64705,0.009505,0.009505,0.009505
7,1427.98,1.15687,2.40969,1.45633,0.48686,0.22298,0.22206,0.1341,1.20059,2.53022,1.64599,0.009406,0.009406,0.009406
8,1632.27,1.13685,2.3306,1.44526,0.50411,0.25324,0.23965,0.15242,1.11963,2.34182,1.56077,0.009307,0.009307,0.009307
9,1836.41,1.11552,2.24734,1.42791,0.55921,0.25195,0.23489,0.15796,1.12964,2.29005,1.55933,0.009208,0.009208,0.009208
10,2040.72,1.08763,2.16957,1.40736,0.5079,0.26767,0.2621,0.17235,1.14067,2.20546,1.5879,0.009109,0.009109,0.009109
11,2245.25,1.08472,2.12083,1.39795,0.48138,0.33682,0.29749,0.20563,1.06128,2.1116,1.50368,0.00901,0.00901,0.00901
12,2449.97,1.06021,2.04845,1.38586,0.47472,0.32693,0.31169,0.20276,1.07949,2.10356,1.52776,0.008911,0.008911,0.008911
13,2655.08,1.05603,2.03654,1.3798,0.47538,0.31799,0.29112,0.19809,1.06055,2.08584,1.50708,0.008812,0.008812,0.008812
14,2860.34,1.04141,1.98546,1.36521,0.4697,0.28532,0.27857,0.184,1.09519,2.07695,1.53171,0.008713,0.008713,0.008713
15,3065.23,1.02686,1.94202,1.35556,0.43735,0.35139,0.32103,0.21914,1.03998,2.0028,1.4819,0.008614,0.008614,0.008614
16,3268.96,1.02015,1.90768,1.35299,0.43559,0.34635,0.29912,0.20311,1.03883,2.00004,1.48826,0.008515,0.008515,0.008515
17,3461.1,1.00794,1.89052,1.34279,0.57966,0.37473,0.36792,0.24915,1.01211,1.86313,1.44078,0.008416,0.008416,0.008416
18,3653.27,0.99409,1.8336,1.33237,0.56623,0.31405,0.37319,0.25252,1.03577,1.9188,1.47122,0.008317,0.008317,0.008317
19,3845.19,0.98967,1.81743,1.32577,0.55123,0.34406,0.38513,0.25142,0.99825,1.81791,1.43542,0.008218,0.008218,0.008218
20,4037.11,0.98518,1.78307,1.32442,0.49988,0.38983,0.37667,0.25052,0.98615,1.81244,1.41191,0.008119,0.008119,0.008119
21,4228.98,0.97992,1.7578,1.31708,0.52643,0.40408,0.40201,0.26761,1.00685,1.83101,1.41634,0.00802,0.00802,0.00802
22,4421.45,0.9604,1.7303,1.30552,0.5305,0.3681,0.37357,0.26156,1.00612,1.81212,1.43534,0.007921,0.007921,0.007921
23,4621.84,0.96082,1.70396,1.30467,0.50916,0.41111,0.38726,0.2686,0.97295,1.76561,1.40772,0.007822,0.007822,0.007822
24,4824.57,0.95204,1.69966,1.29911,0.5402,0.42399,0.41915,0.28827,0.96529,1.79661,1.4057,0.007723,0.007723,0.007723
25,5028.79,0.93861,1.65344,1.28834,0.49963,0.41237,0.40881,0.27783,0.9694,1.77645,1.39061,0.007624,0.007624,0.007624
26,5233.66,0.9362,1.63681,1.29089,0.47416,0.46039,0.43099,0.30007,0.95818,1.6913,1.40454,0.007525,0.007525,0.007525
27,5438.25,0.92893,1.61217,1.28056,0.42892,0.48796,0.43252,0.29595,0.9532,1.70429,1.37971,0.007426,0.007426,0.007426
28,5642.38,0.92356,1.59941,1.27382,0.45038,0.47993,0.45096,0.3086,0.97024,1.68821,1.40466,0.007327,0.007327,0.007327
29,5845.94,0.92037,1.58068,1.2716,0.52503,0.43723,0.44195,0.31723,0.93104,1.6992,1.36331,0.007228,0.007228,0.007228
30,6050.22,0.91706,1.56086,1.27013,0.48381,0.45964,0.44659,0.30963,0.95691,1.71466,1.37973,0.007129,0.007129,0.007129
31,6254.55,0.90785,1.54039,1.26249,0.50129,0.46621,0.45177,0.31857,0.96882,1.66788,1.40688,0.00703,0.00703,0.00703
32,6458.67,0.90379,1.50881,1.26181,0.48902,0.48548,0.46331,0.32334,0.93487,1.66616,1.38383,0.006931,0.006931,0.006931
33,6662.61,0.89966,1.50093,1.25677,0.54245,0.47028,0.44596,0.31667,0.93111,1.68868,1.37646,0.006832,0.006832,0.006832
34,6868.17,0.89203,1.48925,1.24782,0.48998,0.4463,0.46441,0.32972,0.93204,1.65273,1.36243,0.006733,0.006733,0.006733
35,7074.91,0.88247,1.47512,1.24307,0.54486,0.48193,0.4921,0.33981,0.92827,1.62269,1.36861,0.006634,0.006634,0.006634
36,7279.63,0.87886,1.45856,1.23782,0.44694,0.51529,0.45118,0.31869,0.94271,1.6507,1.37551,0.006535,0.006535,0.006535
37,7484.99,0.87311,1.41883,1.23722,0.52303,0.4632,0.46347,0.33161,0.9223,1.6547,1.35243,0.006436,0.006436,0.006436
38,7690.13,0.86703,1.41011,1.2305,0.46428,0.49438,0.45052,0.31985,0.92795,1.6223,1.36164,0.006337,0.006337,0.006337
39,7895.14,0.85641,1.40134,1.22244,0.44592,0.55332,0.46889,0.33236,0.91894,1.62923,1.34211,0.006238,0.006238,0.006238
40,8100.62,0.85575,1.37277,1.22379,0.47423,0.51578,0.46681,0.3254,0.92888,1.66603,1.36469,0.006139,0.006139,0.006139
41,8307.74,0.85281,1.35716,1.21481,0.51492,0.49059,0.48767,0.34418,0.93297,1.64098,1.36894,0.00604,0.00604,0.00604
42,8513.95,0.84666,1.34785,1.21477,0.53681,0.48871,0.50352,0.35254,0.93164,1.64268,1.36872,0.005941,0.005941,0.005941
43,8720.51,0.8467,1.33846,1.21512,0.44863,0.54538,0.48222,0.34302,0.91358,1.669,1.3457,0.005842,0.005842,0.005842
44,8928.8,0.84696,1.31884,1.21425,0.51147,0.49346,0.47513,0.34163,0.91498,1.65379,1.3536,0.005743,0.005743,0.005743
45,9135.09,0.83681,1.30661,1.20536,0.55605,0.49144,0.48863,0.34774,0.89656,1.6108,1.33244,0.005644,0.005644,0.005644
46,9341.54,0.83256,1.29482,1.20477,0.53555,0.50514,0.48898,0.3508,0.89073,1.61092,1.33315,0.005545,0.005545,0.005545
47,9547.75,0.82605,1.2858,1.20142,0.49398,0.56609,0.5043,0.35209,0.89927,1.62866,1.33902,0.005446,0.005446,0.005446
48,9753.07,0.81714,1.25557,1.19099,0.58546,0.4819,0.50604,0.35029,0.90794,1.63374,1.34815,0.005347,0.005347,0.005347
49,9958.57,0.82176,1.25254,1.19514,0.56143,0.50254,0.49786,0.34509,0.9209,1.64606,1.36392,0.005248,0.005248,0.005248
50,10165.2,0.81194,1.22406,1.18672,0.54236,0.5458,0.50785,0.35024,0.92231,1.63321,1.3641,0.005149,0.005149,0.005149
51,10371,0.81307,1.21219,1.1836,0.53026,0.5542,0.49589,0.34607,0.92023,1.63743,1.36588,0.00505,0.00505,0.00505
52,10576.8,0.81042,1.2097,1.18459,0.55245,0.50692,0.49526,0.34962,0.91526,1.64402,1.35552,0.004951,0.004951,0.004951
53,10781.4,0.79818,1.17989,1.17614,0.54775,0.52503,0.50036,0.35315,0.92367,1.63756,1.36543,0.004852,0.004852,0.004852
54,10986.3,0.79264,1.1736,1.17425,0.57047,0.4927,0.50937,0.35699,0.92415,1.63823,1.36914,0.004753,0.004753,0.004753
55,11191.8,0.79201,1.16056,1.17044,0.57422,0.47393,0.51293,0.3553,0.91954,1.62845,1.36224,0.004654,0.004654,0.004654
56,11398.8,0.79185,1.15381,1.16759,0.49378,0.54111,0.50761,0.35626,0.91407,1.63127,1.35266,0.004555,0.004555,0.004555
57,11606.8,0.77997,1.12901,1.16115,0.5235,0.50208,0.50414,0.35488,0.91129,1.63003,1.34802,0.004456,0.004456,0.004456
58,11813.6,0.77736,1.1131,1.15887,0.55791,0.46273,0.49969,0.35547,0.9092,1.64161,1.3479,0.004357,0.004357,0.004357
59,12019.8,0.77488,1.10555,1.15889,0.46655,0.53619,0.49701,0.35639,0.91306,1.65353,1.35243,0.004258,0.004258,0.004258
60,12226,0.76424,1.08575,1.14858,0.44982,0.55223,0.49113,0.35203,0.91846,1.65814,1.35994,0.004159,0.004159,0.004159
61,12432.7,0.76978,1.07882,1.15456,0.46576,0.55378,0.49058,0.35065,0.92471,1.65554,1.36762,0.00406,0.00406,0.00406
62,12638.7,0.76354,1.05754,1.14779,0.46945,0.53873,0.49078,0.35146,0.92694,1.66243,1.36931,0.003961,0.003961,0.003961
63,12845.1,0.75631,1.04896,1.14179,0.48103,0.54057,0.49307,0.3527,0.9263,1.66516,1.36872,0.003862,0.003862,0.003862
64,13051.7,0.75724,1.03972,1.14301,0.4858,0.54405,0.49161,0.34966,0.92548,1.66369,1.3665,0.003763,0.003763,0.003763
65,13259.5,0.7409,1.03108,1.13448,0.48922,0.53872,0.48868,0.34901,0.92386,1.66783,1.36161,0.003664,0.003664,0.003664
66,13467.8,0.74135,1.01339,1.13212,0.48157,0.5464,0.4862,0.34694,0.92492,1.67115,1.36363,0.003565,0.003565,0.003565
67,13676.4,0.74037,0.9991,1.1335,0.47986,0.5494,0.48655,0.34751,0.92518,1.67552,1.36415,0.003466,0.003466,0.003466
68,13884.4,0.727,0.97386,1.12113,0.50055,0.53893,0.48781,0.34906,0.92516,1.67645,1.36446,0.003367,0.003367,0.003367
69,14091.1,0.72906,0.97191,1.12563,0.50176,0.53388,0.48476,0.34814,0.92684,1.678,1.36696,0.003268,0.003268,0.003268
70,14297,0.72614,0.95938,1.12156,0.50885,0.51124,0.4825,0.34862,0.92842,1.68125,1.36803,0.003169,0.003169,0.003169
71,14503.1,0.72123,0.95774,1.11311,0.50646,0.5071,0.48235,0.34906,0.92904,1.68654,1.36954,0.00307,0.00307,0.00307
72,14710.1,0.71344,0.93104,1.11373,0.50946,0.50628,0.48403,0.3473,0.93021,1.68943,1.37121,0.002971,0.002971,0.002971
73,14918.2,0.7131,0.93089,1.11509,0.50472,0.51881,0.48514,0.34897,0.93086,1.69471,1.37293,0.002872,0.002872,0.002872
74,15124.9,0.70574,0.91395,1.10894,0.50636,0.51781,0.48518,0.34763,0.93089,1.69454,1.3742,0.002773,0.002773,0.002773
75,15331.9,0.70686,0.90349,1.10641,0.50126,0.52122,0.48509,0.34619,0.93068,1.69841,1.37441,0.002674,0.002674,0.002674
76,15539.6,0.70302,0.90076,1.10575,0.47681,0.5332,0.4854,0.34781,0.93184,1.70086,1.37669,0.002575,0.002575,0.002575
77,15746.4,0.69533,0.88035,1.10509,0.47503,0.53176,0.48633,0.34936,0.93066,1.70299,1.37724,0.002476,0.002476,0.002476
78,15952.9,0.69189,0.87594,1.09831,0.47166,0.53839,0.48879,0.34897,0.92997,1.70514,1.37742,0.002377,0.002377,0.002377
79,16159.5,0.69039,0.86721,1.09792,0.46084,0.55031,0.48662,0.3471,0.9311,1.70807,1.37929,0.002278,0.002278,0.002278
80,16365.4,0.68485,0.85862,1.09334,0.43295,0.56904,0.48626,0.34724,0.93179,1.70856,1.38039,0.002179,0.002179,0.002179
81,16570.1,0.67904,0.84944,1.09078,0.43556,0.56644,0.48542,0.34669,0.93182,1.71065,1.38032,0.00208,0.00208,0.00208
82,16776.1,0.67588,0.83825,1.09047,0.48273,0.54667,0.48589,0.34716,0.9331,1.71063,1.38131,0.001981,0.001981,0.001981
83,16980.9,0.66906,0.82487,1.08368,0.49473,0.54813,0.48651,0.34645,0.93525,1.71232,1.38406,0.001882,0.001882,0.001882
84,17186,0.66949,0.82102,1.08438,0.49708,0.544,0.48713,0.34776,0.93567,1.71277,1.38448,0.001783,0.001783,0.001783
85,17391.8,0.65921,0.79909,1.07785,0.49178,0.54423,0.48639,0.34683,0.937,1.71378,1.38636,0.001684,0.001684,0.001684
86,17599.2,0.65622,0.78844,1.07511,0.49463,0.54357,0.48705,0.34617,0.93662,1.71569,1.38656,0.001585,0.001585,0.001585
87,17803.9,0.66638,0.79597,1.08082,0.49344,0.54901,0.4874,0.34579,0.93714,1.71752,1.38765,0.001486,0.001486,0.001486
88,18009.1,0.64721,0.77114,1.06865,0.49242,0.55196,0.48791,0.3455,0.93749,1.71902,1.38828,0.001387,0.001387,0.001387
89,18214.6,0.64351,0.76567,1.06548,0.49711,0.54904,0.4876,0.34549,0.93866,1.72133,1.39017,0.001288,0.001288,0.001288
90,18419.8,0.63515,0.75839,1.06689,0.49151,0.55458,0.48667,0.34629,0.93894,1.72442,1.39107,0.001189,0.001189,0.001189
91,18640.4,0.5965,0.61891,1.03936,0.49337,0.54965,0.48652,0.34595,0.93983,1.72574,1.39264,0.00109,0.00109,0.00109
92,18846.1,0.57864,0.57382,1.02081,0.49324,0.55087,0.48762,0.34611,0.94073,1.72878,1.39435,0.000991,0.000991,0.000991
93,19050.8,0.56982,0.55633,1.01866,0.49327,0.55004,0.48784,0.34672,0.94107,1.72959,1.39505,0.000892,0.000892,0.000892
94,19256.6,0.55719,0.54085,1.00979,0.49341,0.55701,0.48952,0.34751,0.94118,1.73118,1.39623,0.000793,0.000793,0.000793
95,19462,0.55601,0.52463,1.0073,0.49388,0.56101,0.48929,0.34745,0.9419,1.73382,1.39859,0.000694,0.000694,0.000694
96,19668.2,0.54901,0.51291,1.0041,0.49425,0.56268,0.4882,0.34757,0.94247,1.73692,1.40034,0.000595,0.000595,0.000595
97,19873.8,0.54271,0.49684,0.99641,0.49692,0.55479,0.48755,0.34782,0.94244,1.73911,1.40173,0.000496,0.000496,0.000496
98,20078.4,0.53419,0.49594,0.99421,0.49693,0.54857,0.48852,0.34934,0.94358,1.74094,1.40412,0.000397,0.000397,0.000397
99,20284.9,0.53277,0.48539,0.995,0.49612,0.54626,0.48827,0.34768,0.94393,1.7441,1.4053,0.000298,0.000298,0.000298
100,20490.3,0.52354,0.47805,0.98844,0.49531,0.54647,0.48846,0.34832,0.94422,1.74616,1.40658,0.000199,0.000199,0.000199
